Timestamp,Room_Temp_C,Supply_Air_Temp_C,Return_Air_Temp_C,Outdoor_Temp_C,Fan_Status_%,Compressor_Status_%,Cooling_Valve_%,Heating_Valve_%,Power_Usage_kWh,Temp_Setpoint_C,Fault_Label
2025-01-01 00:00:00,23.14526857642685,16.760061392853014,20.56250900078898,10.143398873348053,100,50.0,5.6979692654513805,25.759632717510478,37.013805817353855,22.168623097451814,No Fault
2025-01-01 01:00:00,22.88234755937257,16.10215949256717,23.03657792955925,28.991968743476093,0,100.0,29.726891563452817,42.60511619508713,35.20292303461153,23.0681499592445,No Fault
2025-01-01 02:00:00,24.726072700316912,17.3912856614325,21.295712240437677,34.21043870882698,100,0.0,42.59620429467019,15.471340420836539,38.709913761221976,23.77297591948012,No Fault
2025-01-01 03:00:00,23.87583167775799,14.081853105091565,22.580046602942293,20.592706184902575,100,100.0,23.08945180857322,0.1426108014230043,31.0568730570742,23.022146900209105,No Fault
2025-01-01 04:00:00,22.32922304252449,14.892124372765489,22.812394678855483,15.16714125646019,100,100.0,41.82587273434294,19.946674615760628,9.973626007048304,21.856936239322177,No Fault
2025-01-01 05:00:00,21.671084753261773,15.97005951271093,23.882456170262056,23.549150406516908,0,50.0,37.54488514718918,25.71827462781126,33.810037468949176,22.24223841019683,No Fault
2025-01-01 06:00:00,23.25291345734905,15.233320702388893,23.7637091950182,34.01361587825805,100,50.0,5.69161337273586,45.3450354712794,15.305715912962317,23.7552267154989,No Fault
2025-01-01 07:00:00,23.14725462780386,15.160462226615584,23.729114005618282,34.11387042944909,100,0.0,20.62835109390798,26.464725090470782,5.215994984925724,23.768274363970956,No Fault
2025-01-01 08:00:00,21.163371931717617,17.687538406667482,22.149127054654972,15.431868512951201,0,100.0,16.45862037233347,37.84182849128984,6.867898146131518,22.088059844904496,No Fault
2025-01-01 09:00:00,23.57461094754725,15.280620759405652,20.055778712755718,18.24449462430413,0,100.0,30.546571993757247,20.573898455560663,19.1112908613574,23.03746670372509,No Fault
2025-01-01 10:00:00,20.778276550192924,16.19352432262907,20.99030332897358,18.10402604385108,100,100.0,48.216951241123915,2.251306738023046,29.422536966545618,21.397462104514712,No Fault
2025-01-01 11:00:00,22.28393851309608,17.914425156536442,22.24006707237967,14.487186544549623,100,0.0,46.09828370921411,19.7953288142184,11.382752113248607,22.184847940302213,No Fault
2025-01-01 12:00:00,23.157051539668537,16.437690343598014,21.848495086051287,26.363446022806514,100,50.0,42.89093944452198,4.624959470931622,23.64337839460091,22.36922663862568,No Fault
2025-01-01 13:00:00,22.807902678132812,14.477450680766436,20.556171788262933,28.726109342237834,0,50.0,49.81987442092529,2.5084178290554373,7.438308860261879,23.263741684338928,No Fault
2025-01-01 14:00:00,23.585510079763793,17.34412832065952,23.214899555002237,10.369168530060007,0,0.0,8.39903290289763,5.3739853920674765,21.321436795762818,23.271207420786325,No Fault
2025-01-01 15:00:00,22.499811475931914,14.80874382067373,21.38688061850598,16.608666441739334,0,0.0,34.97722182372675,21.464307973653646,14.816254774031007,22.690826562768258,No Fault
2025-01-01 16:00:00,23.453983778716914,15.448959989626603,22.063093157847113,28.385374924779036,100,0.0,12.574274440475374,24.401171716550387,7.218673598077473,23.733118321183525,No Fault
2025-01-01 17:00:00,22.742920610273046,17.0894183431661,22.85497197854376,12.089732940785908,100,0.0,14.745292717166564,9.671641478274417,6.901920645921641,22.16211455425266,No Fault
2025-01-01 18:00:00,23.12837294709779,17.16558353957648,23.689432039721265,21.24414135199828,100,0.0,10.825740830010504,33.44560668002688,16.02205503461061,23.845291418380306,No Fault
2025-01-01 19:00:00,23.543209915774266,14.71255588846728,22.745739763430063,29.034154197161527,100,50.0,15.050886208032882,14.242598869158634,32.18261784279288,23.050176630890462,No Fault
